name,location,price,rating,distance,comment
路徒Plus行旅-站前館,"中正區, 台北",6494.0,8.5,400,非常好
天閣酒店台北士林,"士林區, 台北",4725.0,8.7,4100,很棒
傑仕堡有氧酒店,"板橋, 台北",4956.0,9.1,5700,好極了
台北大直英迪格酒店,"中山區, 台北",6757.0,8.4,5900,非常好
町記憶旅店3館,"萬華區, 台北",5081.0,8.9,1400,很棒
雀客旅館新北蘆洲,"蘆洲, 台北",3610.0,8.7,5400,很棒
捷絲旅台北三重館,"三重, 台北",4634.0,9.1,4600,好極了
甲山林湯旅,"中山區, 台北",4837.0,8.4,2500,非常好
北投享溫泉,"北投區, 台北",5681.0,8.0,10100,非常好
美侖商旅,"中山區, 台北",9900.0,9.0,1500,好極了
