name,location,price,rating,distance,comment
華大旅店-南西館,"大同區, 台北","TWD 3,600",7.8,距中心 1 公里,好
JR東日本大飯店 台北,"中山區, 台北","TWD 8,100",9.0,距中心 2.5 公里,好極了
柔美精品商旅,"中山區, 台北","TWD 3,966",8.3,距中心 2.1 公里,非常好
旅居文旅-板橋車站館,"板橋, 台北","TWD 2,480",8.1,距中心 6.9 公里,非常好
薇閣精品旅館 - 大直旗艦館,"中山區, 台北","TWD 3,135",8.0,距中心 5.7 公里,非常好
台北中山旅居文旅-松山機場館,"中山區, 台北","TWD 2,680",8.3,距中心 2.8 公里,非常好
町記憶旅店,"萬華區, 台北","TWD 4,281",8.8,距中心 1.4 公里,很棒
晶華酒店,"中山區, 台北","TWD 7,970",8.7,距中心 1.1 公里,很棒
貴族商務飯店,"士林區, 台北","TWD 2,160",7.8,距中心 7.1 公里,好
台北馥敦-馥寓,"松山區, 台北","TWD 5,658",8.9,距中心 3.1 公里,很棒
華大旅店-南西館,"大同區, 台北","TWD 3,600",7.8,距中心 1 公里,好
JR東日本大飯店 台北,"中山區, 台北","TWD 8,100",9.0,距中心 2.5 公里,好極了
柔美精品商旅,"中山區, 台北","TWD 3,966",8.3,距中心 2.1 公里,非常好
旅居文旅-板橋車站館,"板橋, 台北","TWD 2,480",8.1,距中心 6.9 公里,非常好
薇閣精品旅館 - 大直旗艦館,"中山區, 台北","TWD 3,135",8.0,距中心 5.7 公里,非常好
台北中山旅居文旅-松山機場館,"中山區, 台北","TWD 2,680",8.3,距中心 2.8 公里,非常好
町記憶旅店,"萬華區, 台北","TWD 4,281",8.8,距中心 1.4 公里,很棒
晶華酒店,"中山區, 台北","TWD 7,970",8.7,距中心 1.1 公里,很棒
窩旅舍,"信義區, 台北","TWD 1,262",7.7,距中心 4.4 公里,好
Sunrise Hotel,"信義區, 台北","TWD 3,080",7.8,距中心 5 公里,好
路徒Plus行旅-主題館,"中正區, 台北","TWD 5,280",8.6,距中心 400 公尺,很棒
格拉斯麗台北飯店,"中正區, 台北","TWD 7,695",9.0,距中心 1.4 公里,好極了
旅城驛鎮,"中山區, 台北","TWD 5,022",9.4,距中心 1.7 公里,好極了
路徒Plus行旅-站前館,"中正區, 台北","TWD 6,494",8.5,距中心 400 公尺,非常好
天閣酒店台北士林,"士林區, 台北","TWD 4,725",8.7,距中心 4.1 公里,很棒
傑仕堡有氧酒店,"板橋, 台北","TWD 4,956",9.1,距中心 5.7 公里,好極了
台北大直英迪格酒店,"中山區, 台北","TWD 6,757",8.4,距中心 5.9 公里,非常好
町記憶旅店3館,"萬華區, 台北","TWD 5,081",8.9,距中心 1.4 公里,很棒
雀客旅館新北蘆洲,"蘆洲, 台北","TWD 3,610",8.7,距中心 5.4 公里,很棒
捷絲旅台北三重館,"三重, 台北","TWD 4,634",9.1,距中心 4.6 公里,好極了
甲山林湯旅,"中山區, 台北","TWD 4,837",8.4,距中心 2.5 公里,非常好
北投享溫泉,"北投區, 台北","TWD 5,681",8.0,距中心 10.1 公里,非常好
美侖商旅,"中山區, 台北","TWD 9,900",9.0,距中心 1.5 公里,好極了
